comment_v1,comment_v2,type,sentiment
কমেন্ট টা করে সবাইকে গানটার কথা আরো একবার মনে করিয়ে দিলাম,কমেন্ট সবাইকে গান কথা আরো দিল,1,1
আহারে,আহারে,1,1
গানটার সুরে কি এমন আছে যা শুনলে এমনিই চোখে জল চলে আসে,গান সুরে শুনলে এমনি চোখে জল,0,2
ami toh more gechi 20 aaaa,ami toh gechi aaaa,0,1
tomar are or our amar to jon er e 10th 2011 te are or our to jon e 98 maths e wow ki mil,tomar amar jon er e th te jon e math e wow ki mil,0,2
video is awesomeplease remember sound quality next time,video awesomepleas rememb sound qualiti next time,2,2
khubb vaggo valo j vaat khaoar smy video ta dekhi ni,khubb vaggo valo j vaat khaoar smi video ta dekhi ni,0,2
waiting for the game khelte chaii,wait game khelt chaii,0,2
ke ke quarantine e dekhcho,ke ke quarantin e dekhcho,4,1
saif zohan bahi always on a word to describe something positive love it bahi khub sundor gan ta,saif zohan bahi alway word describ someth posit love bahi khub sundor gan ta,2,2
চেখের পানি টলমল করতেছে এই গানটা শুনে স্পেশালি ধন্যবাদ সিঙ্গারকে,চেখের পানি টলমল করত গান শুনে স্পেশা ধন্যবাদ সিঙ্গ,0,2
ভাই আই বসর কয়ডা রোজা রাখবার জানাইও,ভাই আই বসর কয়ডা রোজা রাখব জানাইও,4,1
who is going 17th and 18th aug hull concert,go th th aug hull concert,4,1
who39s here in 2025,who,4,1
এই গান শুনে আমি এ তটা ভেঙ্গে পরেছি ঐ দিন গুলো জদি আমি আবার ফিরে পেতাম আমার জীবন আর কিছু চাইতাম না বারি গারি টাকা পয়সা কি দিন গুলো হারিয়ে গেছে সত সত সত মানুষের কাজ থেকে আগের দিন গুলোর কতা মনে পরল্লে আমার আর কিছু ভালো লাগে না,গান শুনে তটা ভেঙ্গে পরে গুলো জদি পেতাম জীবন চাইতাম না বারি গারি টাকা পয়সা গুলো হারা সত সত সত মানুষ আগ গুলোর কতা পরল্লে ভালো লাগে না,0,0
buk ta fete jay soisob er kotha mone porlechaile phire pawa somvob naaaa,buk ta fete jay soisob er kotha mone porlechail phire pawa somvob naaaa,0,0
jennie of the blackpink,jenni blackpink,1,1
kal ka amar chemistry exams ar ajke ami abar video dekchi,kal ka amar chemistri exam ar ajk ami abar video dekchi,1,1
salman khan er sinema darun chilo line ta,salman khan er sinema darun chilo line ta,2,2
kichu gan likhle ami apnake send kora jabe ay rokom kichu babosta ache,kichu gan likhl ami apnak send kora jabe ay rokom kichu babosta ach,0,0
bhai purana din kar moto comedy video bnao na,bhai purana din kar moto comedi video bnao na,2,1
সত্যি বলতে ২০২৫ এই বছর টা খুবই কষ্ট দিয়ে যাচ্ছেকে জানতো জীবনটা এভাবে শেষ হয়ে যাবে,সত্যি খুব কষ্ট যায় জান জীবন এভাবে,0,0
এত এস্থেটিক সব গান সেরা ভাই অনেক শুভকামনা থাকলো,এস্থেটিক গান ভাই শুভকামনা থাকলো,0,2
i hate july,hate juli,0,0
anyone in 2025 ,anyon,4,1
খুব মন চায় শৈশবে ফিরে যায়কতো না সুন্দর ছিল দিনগুলো খুবই মিস করি,মন শৈশবে যায়ক না সুন্দর দিন খুব মিস,0,0
আর কি ফিরে পাবো আমার সেই সোনালি শৈশব,পাবো সোনা শৈশব,0,0
হৃদয় জুড়িয়ে যাওয়া একটি গান,হৃদয় জুড়িয়ে গান,0,2
i am confident,confid,2,2
মনের মতো গান টা হল অনেক অনেক ধন্যবাদ,মন গান ধন্যবাদ,0,2
very beautiful song,beauti song,2,2
তুমি কোথায় হারিয়ে গেলা সব কিছু ভুলে গেলে ও তোমার স্মৃতিগুলো তোমার মায়া গুলা কি ভাবে ভালো থাকা যাই হাজার হাজার বছর এই কমেন্ট পরে থাকবে থাকবো না শুধু আমি,কোথায় হারা গেলা ভুলে স্মৃতি মায়া গুলা ভালো কমেন্ট থাকবো না,0,0
নওগাঁ আমার জেলা,নওগাঁ জেলা,1,1
মাথাই নষ্ট,মাথা নষ্ট,0,0
vai video valo,vai video valo,2,2
timeless,timeless,1,1
indonesia hadir,indonesia hadir,1,1
2025 still a masterpiece,still masterpiec,2,2
dada dekhe mata gurjar,dada dekh mata gurjar,0,1
said hoise,said hois,1,1
peecock,peecock,1,1
she it describes something as positive up his world and this song lights up ours a hymn a vibe a blessing,describ someth posit world song light hymn vibe bless,0,2
osther son of a btch baper sheper ura dura karbar bhai,osther son btch baper sheper ura dura karbar bhai,0,0
best,best,2,2
aktu pore math exam,aktu pore math exam,1,1
plzz bhai offline video download korar option korennet slow,plzz bhai offlin video download korar option korennet slow,1,1
ami exam dite chai na akta upay bole din,ami exam dite chai na akta upay bole din,4,1
wow nice,wow nice,0,2
এর আগে একবার গান গেয়েছেন এটার অ্যানিমেশন টা খুব ভালো লাগছে,গান গেয়েছেন এটা অ্যানিমেশন ভালো লাগ,2,2
ভাই আমি তো ২০ এই মরে গেলাম,ভাই মরে গেল,0,0
onno state ar sele der dekho west bengal a ki son of a btch magi jonmo hoy nkimaximum sele magir moto hap fab no busyness mindset nothing,onno state ar sele der dekho west bengal ki son btch magi jonmo hoy nkimaximum sele magir moto hap fab busy mindset noth,0,0
সবার কাছে সে এক রঙিন শৈশব কিন্তু আমার কাছে সে এক বেদনা  অতীত নির্ঘুম রাত মানসিক কষ্ট  সেই শৈশবে আমি বুঝেছি পারিবারিক সমস্যার কষ্ট ঠিক কতখানি  ইস  সবার মতো যদি আমার শৈশবটা রঙিন হতো,রঙিন শৈশব বেদনা অতীত নির্ঘুম রাত মানসিক কষ্ট শৈশবে বুঝে পারিবারিক সমস্য কষ্ট কতখানি ইস শৈশব রঙিন হত,0,0
i just love this man,love man,2,2
who39s watching this in 2025,who watch,4,1
ami 10 bar dhakchi,ami bar dhakchi,0,0
যারা প্রিয় জিনিস গুলো ছাড়ছে তাড়াই বুঝবে,প্রিয় গুলো ছাড় তাড়া বুঝবে,2,1
বয়স টা প্রায় ২৫,বয়স,1,1
২৫ বছরে সবাই বড় একটা ছেকা খায় সময় পাড় হয়ে যাচ্ছে নিজের লাইফের কোন গতি হচ্ছে না পারিবারিক চাপ সব কিছু মিলেয়ে,বছরে বড় এক ছেকা খায় সময় পাড় লাইফ গতি না পারিবারিক চাপ মিল,0,0
what is the name of the singer,name singer,4,1
ebr paisi ebr paisi exam er inventor hocce henry fischel,ebr paisi ebr paisi exam er inventor hocc henri fischel,0,1
আমার ছোট্ট বেলার সেই সেই বন্ধুরা কই দেখি তো,ছোট্ট বেল বন্ধু কই দেখি,0,1
prithibite valobasha bolte kico nei ace sodu dhoka,prithibit valobasha bolt kico nei ace sodu dhoka,0,0
ভাষাবিদ মমতা ব্যানার্জি আমার চাকরিটা চলে যাবে নাতো,ভাষাবিদ মমতা ব্যানার্জি চাকরি নাত,0,0
jinon ta onek soundorjoudi afni jinon ta soundor kore sajate paro,jinon ta onek soundorjoudi afni jinon ta soundor kore sajat paro,0,2
250 minutes ar bike ar video ta amader alaker  rajshahi  bangladesh,minut ar bike ar video ta amad alak rajshahi bangladesh,1,1
kicu manus more jy,kicu manu jy,0,1
tomade basa koi vaiya,tomad basa koi vaiya,0,1
what have you done ei lyrics kno,done ei lyric kno,4,1
is anyone here from 5 june 2025,anyon june,4,1
vai apnra kon camera diye video koren please help me,vai apnra kon camera diy video koren pleas help,4,1
ooo moja pailam,ooo moja pailam,0,1
গান টা শুনতে শুনতে কখন যে ২চোখ দিয়ে পানি জড়ে পড়লো নিজেই বুঝতে পারিনিবাস্তবতার কাছে হার মেনে সবাই মিত্যা অভিনয় দিয়ে চলে যাচ্ছেহয়তো পরিবারের কাছে হার মেনে নয়তো ভালোবাসার মানুটিকে হারিয়ে,গান শুন শুন চোখ পানি জড়ে পড়লো বুঝ পারিনিবাস্তবতার হার মান মিত্যা অভিনয় যাচ্ছেহয় পরিবার হার মান নয় ভালোব মানু হারা,0,0
কই থাকো তুমি,কই থাকো,0,1
ভালো p,ভালো p,0,2
you gays are or our significant other funny,gay signific funni,0,2
bonganondo valoi psychology jane bolte hobe,bonganondo valoi psycholog jane bolt hobe,2,1
wow significant other nice,wow signific nice,0,2
sesh mesh sayan name tar bodnam kore dilo,sesh mesh sayan name tar bodnam kore dilo,0,0
raat 140 baje thikthak hasteo parchina,raat baje thikthak hasteo parchina,0,1
ami tomar video te joto gulo types ache se gulo are or our mixture by the way big fan,ami tomar video te joto gulo type ach se gulo mixtur way big fan,0,2
me gaana com,gaana com,1,1
i also play mini militia,also play mini militia,1,1
হৃদয় শুয়ে ছুঁয়ে গেছে,হৃদয় শুয়ে ছুঁয়ে,0,0
extra paper ta ami,extra paper ta ami,1,1
আমি খুব ক্লান্ত,ক্লান্ত,0,0
jihok moja pise,jihok moja pise,0,1
go ahead prank king team apnader ato vallaage kan,go ahead prank king team apnad ato vallaag kan,0,1
soisob manushke shara jibon thadito kore thai shoisobe jibon abegmoi,soisob manushk shara jibon thadito kore thai shoisob jibon abegmoi,0,0
সারা বছর অনেক খারাপ ঘটনা ঘটেছে তার জন্যে একটুও মন ভালো ছিলো না কিন্তু বছরের শেষ দিনে এভাবে মুখে হাসি ফিরিয়ে দেওয়ার জন্যে অনেক ধন্যবাদ আর ভালবাসা রইলো আরও এগিয়ে যাও,সার খারাপ ঘটনা ঘট জন্যে একটু মন ভালো ছিলো না বছর দিনে এভাবে মুখে হাসি ফিরিয়ে জন্যে ধন্যবাদ ভালবাসা রইলো এগিয়ে যাও,0,2
is that place in india,place india,4,1
indien scamer,indien scamer,0,0
সেরা দাদা সেরা,দাদা,0,2
এই গানটা শোনার পর বড্ড মন খারাপ হয়ে যায় ছোট বেলার স্মৃতিগুলো পিড়া দেয়,গান শোন বড্ড মন খারাপ যায় বেল স্মৃতি পিড়া,0,0
আপনারা যে যাই বলুন না কেন না আমি মনে করি যে জীবন টা একটি যুদ্ধ,আপনা বলুন না না জীবন যুদ্ধ,2,1
they are showing india in a better way than indian movies and songs,show india better way indian movi song,2,2
আহ আমার শৈশব গানটি শুনে হৃদয়ে যেন শৈশবের সৃতি ভেসে ওঠে অনেক অনুভব করি আমার ছেলেবেলা ক্রিকেট ফুটবল মাঠে ঘুড়ি উড়ানো বন্ধুদের সাথে স্কুলে যাওয়াআবার মাঝে মধ্যে বন্ধুরা সবাই মিলে স্কুল পালিয়ে মেলা বা পাহাড়ের চূড়ায় ঘুড়ে বেড়ানো,আহ শৈশব গান শুনে হৃদয় শৈশব সৃতি ভাস ওঠে অনুভব ছেলেবেলা ক্রিকেট ফুটবল মাঠে ঘুড়ি উড়ানো বন্ধু সাথে স্কুলে যাওয়াআব মাঝে বন্ধু মিলে স্কুল পালা মেলা পাহাড় চূড়ায় ঘুড়ে বেড়ানো,0,2
239  আজ বড়বেলায় বাস্তবতায় চাই শৈশবে যেতে ফিরে  আমি  ভাবি কোথায় আহারে আহারে আহারে শৈশব,বড়বেলায় বাস্তবতায় চাই শৈশবে ভাবি আহারে আহারে আহারে শৈশব,0,0
handsome cng driver,handsom cng driver,2,2
nice video amra chai aro balo video koro,nice video amra chai aro balo video koro,2,2
2020 best year of my life,best year life,2,2
nice joss hoica,nice joss hoica,2,2
দাদা দারুন দিয়েছো  ভাল্লাগছে,দাদা দারুন দিয়েছো ভাল্লাগ,2,2
কোথায় হারিয়ে গেলআমার সেই শৈশবের দিনগুলীআর ফিরে পাওয়া সম্ভব নয়যাইহোক আল্লাহ পাক যেরম রেখেছেন তাতেই শুকরিয়া,কোথায় হারা গেলআম শৈশব দিনগুলীআর পাওয়া নয়যাইহোক আল্লাহ পাক যেরম রেখেছেন তাতে শুকরিয়া,0,0
আর আমার বয়স মাএ ২২ কি বুঝলেন,বয়স মাএ বুঝ,4,1
ভাই আমি বোঝাতে পারবো না কিভাবে মরে গিয়েও বেঁচে আছি শুধু দায়িত্ব গুলো পিঠে নিয়ে পরিবারের বড় ছেলে কিনা ৩ বছর ধরে একটা জুতা কিনতে পারিনি কিন্তু বাড়ির সব কিছু চালিয়ে যাচ্ছি আমি পচিশে মরিনি আমি মরেছি উনিশে যখন ইন্টারের বই নিজেকে কিনতে হবে হয়েছে ইনকাম করে কিন্তু এখনো বেঁচে আছি কিছু কথা থেকে যায় কিন্তু কাউকে বলা হয়ে ওঠে না নিজের জন্য সময়ের বড্ড অভাব গানটা আমার নিজের কথাই আমাকে বলছে cheers,ভাই বোঝা পারবো না মরে গিয়ে বেঁচে আছি দায়িত্ব গুলো পিঠে পরিবার বড় ছাল এক জুতা কিন বাড়ির চালা যাচ্ পচিশে মরিনি মরে উনিশে ইন্টারের বই কিন ইনকাম বেঁচে আছি কথা যায় ওঠে না সময় বড্ড অভাব গান কথা বল cheer,0,0
পুত পুত্,পুত পুত্,0,1
who listening in august 2046,listen august,4,1
এখন রাত ১১৩৫‌  একজন ব্যার্থ ভর্তি যোদ্ধা2nd time পরিক্ষা দিব ৩ মাস ফোনে youtube ছাড়া কোনো application নেই  হঠাৎ গানটা সামনে এলে এখন দেখি এখানে আমারো কাহিনী ফটোকপির মতো করে বলা হচ্ছে,রাত ‌ একজন ব্যার্থ ভর্তি যোদ্ধাnd time পরিক্ষা দিব মাস ফোনে youtub applic হঠাৎ গান এলে দেখি আমারো কাহিনী ফটোকপির,0,0
1738 e ankita nam ta jokhoni nile ki je valo lagloo,e ankita nam ta jokhoni nile ki je valo lagloo,0,1
the thumbnail itself is singing this song,thumbnail sing song,1,1
আরপঁচিশের আগের বাস্তবতা প্রথম ধরা দেয় আঠারো তে,আরপঁচিশ আগ বাস্তবতা আঠারো তে,2,1
miss it,miss,0,0
gtঅল্প সময়ের জন্য কোথায় যেন হারিয়ে গেলামgtনোটিফিকেশন পেলে গানটা আবার শুনতে আসবো,gtঅল্প সময় কোথায় হারা গেলামgtনোটিফিকেশন পাল গান শুন আসবো,0,2
2021 okay okay dekhsen,okay okay dekhsen,4,1
এখন ১৮ যখন ২৫ হবে তখন আবার আসবো শুনতে যদি লাইক দেন,আসবো শুন লাইক,2,2
শৈশব হারিয়ে গেছে মোবাইলে,শৈশব হারা মোবাইলে,0,0
you are or our just superb,superb,2,2
ভাষা বিদ আছে নাম বললে চাকরি থাকবে না সেরা সেরা,ভাষা বিদ বললে চাকরি না,2,0
coochbehar theke bolchi darun laglo,coochbehar theke bolchi darun laglo,2,2
ভাই মোজা দিলে,ভাই মোজা দিলে,0,1
আজ আমিও শুনলাম এটা ১০০ পর মানুষ এই গানটাই আবার শুনবে,আমি শুন গান শুনবে,1,1
সৃতি রেখে গেলাম,সৃতি গেল,0,1
ভাই এটা কি ছিলোআমি কান দিয়ে নয় মন দিয়ে শুনছি সত্যি বলতে কান্না করে দিছি,ভাই ছিলোআমি কান মন শুন সত্যি কান্না দিছি,0,0
ami 25 ee more gesi,ami ee gesi,1,1
are you listening to this masterpiece in august,listen masterpiec august,4,1
aami ektu mirjafor type student,aami ektu mirjafor type student,2,1
হাহা,হাহা,0,2
who is here after the kiss cam disaster,kiss cam disast,4,1
who is the girl that is singing with coldplay,girl sing coldplay,4,1
chotto chele ki korechilo je dada oke roast korlo,chotto chele ki korechilo je dada oke roast korlo,1,1
ke ke 2023 sale dekhcho,ke ke sale dekhcho,1,1
দারুণ একটা অনুভূতি,দারুণ এক অনুভূতি,0,2
dab brk,dab brk,0,1
dada tumi sera,dada tumi sera,0,1
গানটা জীবনের সাথে মিলে গেলো,গান জীবন সাথে মিলে গেলো,2,2
shothik kotha bolechen,shothik kotha bolechen,2,2
২০২৩ সালে এসে কে কে দেখছে,সালে দেখ,4,1
হয়তো আমিও একদিন এই আপসোসটা করব,আমি একদিন আপসোস কর,0,0
faiyaz abrar bhai okay onek miss kortesianyone 2018,faiyaz abrar bhai okay onek miss kortesianyon,0,2
 কোথায় আহারে আহারে আহারে শৈশব  কোথায় হারিয়ে আমার শৈশব  যদি আবার ফিরতে পারতাম শৈশবে,কোথায় আহারে আহারে আহারে শৈশব কোথায় হারা শৈশব ফির পারতাম শৈশবে,0,0
ami ovineta chilam,ami ovineta chilam,0,1
minecraft,minecraft,1,1
appropraite representation of indian culture no islamic shitty tombs nice,approprait represent indian cultur islam shitti tomb nice,2,0
hotat kore ami jante pelam tumi amr naojekhane thakis valo thakis prio,hotat kore ami jant pelam tumi amr naojekhan thaki valo thaki prio,0,2
you are my fabourite actor,fabourit actor,2,2
i am sorry prottoy actually when i was watching your ki kore bolbo song tokhon dekhlam je tomar sathe tomar gfs,sorri prottoy actual watch ki kore bolbo song tokhon dekhlam je tomar sath tomar gf,0,2
